Time,ID,Behaviour,Zone,Close_neighbours,Distant_neighbours
1,81,Foraging,Foraging,{},{}
1,82,Raised Guarding (Vigilant),Background,{83;84},{83;84}
1,83,Huddle,Background,{84;82},{84;82}
1,84,Huddle,Background,{83;82},{85;83;82}
1,85,High sitting/standing (Vigilant),Background,{},{84}
2,81,Foraging,Foraging,{},{}
2,82,Raised Guarding (Vigilant),Background,{83;84},{83;84}
2,83,Huddle,Background,{84;82},{84;82}
2,84,Huddle,Background,{83;82},{85;83;82}
2,85,High sitting/standing (Vigilant),Background,{},{84}
3,1,Moving,Background,{},{83;84;82}
3,81,Foraging,Foraging,{},{}
3,82,Raised Guarding (Vigilant),Background,{83;84},{83;1;84}
3,83,Huddle,Background,{84;82},{84;1;82}
3,84,Huddle,Background,{83;82},{85;83;1;82}
3,85,High sitting/standing (Vigilant),Background,{},{84}
4,1,Moving,Background,{},{83;82}
4,81,Foraging,Foraging,{},{}
4,82,Raised Guarding (Vigilant),Background,{83;84},{83;1;84}
4,83,Huddle,Background,{84;82},{84;1;82}
4,84,Huddle,Background,{83;82},{85;83;82}
4,85,High sitting/standing (Vigilant),Background,{},{84}
5,1,Moving,Background,{},{83;82}
5,81,Foraging,Foraging,{},{}
5,82,Raised Guarding (Vigilant),Background,{83;84},{83;1;84}
5,83,Huddle,Background,{84;82},{84;1;82}
5,84,Huddle,Background,{83;82},{85;83;82}
5,85,High sitting/standing (Vigilant),Background,{},{84}
6,0,Moving,Background,{85},{85;84}
6,1,Moving,Background,{83},{83;82}
6,81,Foraging,Foraging,{},{}
6,82,Raised Guarding (Vigilant),Background,{83;84},{83;1;84}
6,83,Huddle,Background,{84;1;82},{84;1;82}
6,84,Huddle,Background,{83;82},{85;83;0;82}
6,85,High sitting/standing (Vigilant),Background,{0},{0;84}
7,0,Moving,Foraging,{},{1;82;83;85;84}
7,1,Moving,Background,{83;84;82},{84;83;0;82}
7,81,Foraging,Foraging,{},{}
7,82,Raised Guarding (Vigilant),Background,{83;1;84},{83;1;0;84}
7,83,Huddle,Background,{84;1;82},{84;1;0;82}
7,84,Huddle,Background,{83;1;82},{1;0;82;83;85}
7,85,High sitting/standing (Vigilant),Background,{},{0;84}
8,0,Moving,Foraging,{},{}
8,1,Moving,Background,{83;84;82},{83;84;82}
8,81,Foraging,Foraging,{},{}
8,82,Raised Guarding (Vigilant),Background,{83;1;84},{83;1;84}
8,83,Huddle,Background,{84;1;82},{84;1;82}
8,84,Huddle,Background,{83;1;82},{85;83;1;82}
8,85,High sitting/standing (Vigilant),Background,{},{84}
9,0,Foraging,Foraging,{},{81}
9,1,Playfight,Background,{83;84;82},{83;84;82}
9,81,Foraging,Foraging,{},{0}
9,82,Raised Guarding (Vigilant),Background,{83;1;84},{83;1;84}
9,83,Huddle,Background,{84;1;82},{84;1;82}
9,84,Playfight,Background,{83;1;82},{85;83;1;82}
9,85,High sitting/standing (Vigilant),Background,{},{84}
10,0,Foraging,Foraging,{81},{81}
10,1,Raised Guarding (Vigilant),Background,{83;84;82},{83;84;82}
10,81,Foraging,Foraging,{0},{0}
10,82,Raised Guarding (Vigilant),Background,{83;1;84},{83;1;84}
10,83,Huddle,Background,{1;82},{84;1;82}
10,84,Moving,Background,{1;82},{85;83;1;82}
10,85,High sitting/standing (Vigilant),Background,{},{84}
11,0,Foraging,Foraging,{81},{81}
11,1,Raised Guarding (Vigilant),Background,{83;84;82},{83;84;82}
11,81,Foraging,Foraging,{0},{0}
11,82,Raised Guarding (Vigilant),Background,{83;1},{83;1;84}
11,83,Huddle,Background,{1;82},{84;1;82}
11,84,Moving,Background,{1},{85;83;1;82}
11,85,High sitting/standing (Vigilant),Background,{},{84}
12,0,Foraging,Foraging,{81},{81}
12,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
12,81,Foraging,Foraging,{0},{0}
12,82,Raised Guarding (Vigilant),Background,{83;1},{83;1;84}
12,83,Huddle,Background,{1;82},{84;1;82}
12,84,Moving,Background,{},{85;83;1;82}
12,85,High sitting/standing (Vigilant),Background,{},{84}
13,0,Moving,Foraging,{},{81}
13,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
13,81,Foraging,Foraging,{},{0}
13,82,Raised Guarding (Vigilant),Background,{83;1},{83;1}
13,83,Huddle,Background,{1;82},{1;82}
13,84,Raised Guarding (Vigilant),Background,{},{85;1}
13,85,High sitting/standing (Vigilant),Background,{},{84}
14,0,Low sitting/standing (stationary),Foraging,{},{81}
14,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
14,81,Foraging,Foraging,{},{0}
14,82,Raised Guarding (Vigilant),Background,{83;1},{83;1}
14,83,Huddle,Background,{1;82},{1;82}
14,84,Raised Guarding (Vigilant),Background,{},{85;1}
14,85,High sitting/standing (Vigilant),Background,{},{84}
15,0,Groom,Foraging,{},{81}
15,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
15,81,Foraging,Foraging,{},{0}
15,82,Raised Guarding (Vigilant),Background,{83;1},{83;1}
15,83,Huddle,Background,{1;82},{1;82}
15,84,Raised Guarding (Vigilant),Background,{},{85;1}
15,85,High sitting/standing (Vigilant),Background,{},{84}
16,0,Groom,Foraging,{},{81}
16,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
16,81,Foraging,Foraging,{},{0}
16,82,Raised Guarding (Vigilant),Background,{83;1},{83;1}
16,83,Huddle,Background,{1;82},{1;82}
16,84,Raised Guarding (Vigilant),Background,{},{85;1}
16,85,High sitting/standing (Vigilant),Background,{},{84}
17,0,Groom,Foraging,{},{81}
17,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
17,81,Foraging,Foraging,{},{0}
17,82,Raised Guarding (Vigilant),Background,{83;1},{83;1}
17,83,Huddle,Background,{1;82},{1;82}
17,84,Raised Guarding (Vigilant),Background,{},{85;1}
17,85,High sitting/standing (Vigilant),Background,{},{84}
18,0,Low sitting/standing (stationary),Foraging,{},{81}
18,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
18,81,Foraging,Foraging,{},{0}
18,82,Raised Guarding (Vigilant),Background,{83;1},{83;1}
18,83,Huddle,Background,{1;82},{1;82}
18,84,Raised Guarding (Vigilant),Background,{},{85;1}
18,85,High sitting/standing (Vigilant),Background,{},{84}
19,0,Low sitting/standing (stationary),Foraging,{},{81}
19,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
19,81,Foraging,Foraging,{},{0}
19,82,Raised Guarding (Vigilant),Background,{83;1},{83;1}
19,83,Huddle,Background,{1;82},{1;82}
19,84,Raised Guarding (Vigilant),Background,{},{85;1}
19,85,High sitting/standing (Vigilant),Background,{},{84}
20,0,Low sitting/standing (stationary),Foraging,{},{81}
20,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
20,81,Foraging,Foraging,{},{0}
20,82,Raised Guarding (Vigilant),Background,{83;1},{83;1}
20,83,Huddle,Background,{1;82},{1;82}
20,84,Raised Guarding (Vigilant),Background,{},{85;1}
20,85,High sitting/standing (Vigilant),Background,{},{84}
21,0,Moving,Foraging,{},{81}
21,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
21,81,Foraging,Foraging,{},{0}
21,82,Raised Guarding (Vigilant),Background,{83;1},{83;1}
21,83,Moving,Background,{1;82},{1;82}
21,84,Raised Guarding (Vigilant),Background,{},{85;1}
21,85,High sitting/standing (Vigilant),Background,{},{84}
22,0,Moving,Background,{},{1;82}
22,1,Raised Guarding (Vigilant),Background,{83;82},{0;82;83;85;84}
22,81,Foraging,Foraging,{},{}
22,82,Moving,Background,{83;1},{83;1;0;84}
22,83,Moving,Background,{84;1;82},{84;85;1;82}
22,84,Raised Guarding (Vigilant),Background,{83},{85;83;1;82}
22,85,Moving,Background,{},{83;1;84}
23,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
23,81,Moving,Foraging,{},{}
23,82,Raised Guarding (Vigilant),Background,{83;1;84},{83;1;84}
23,83,Raised Guarding (Vigilant),Background,{84;1;82},{84;1;82}
23,84,Raised Guarding (Vigilant),Background,{83;82},{83;1;82}
24,1,Raised Guarding (Vigilant),Background,{83;82},{83;84;82}
24,81,Moving,Foraging,{},{}
24,82,Raised Guarding (Vigilant),Background,{83;1;84},{83;1;84}
