Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Moving,Foraging,Adult,{1},{1;2},[6486.804829224944;29547.51539210975;-14154.688227899373]
0,1,Foraging,Foraging,Adult,{0;2},{0;2},[5969.433453384787;30825.148521885276;-13331.00519850105]
0,2,Foraging,Foraging,Adult,{1},{0;1},[2374.045700673014;32443.889224261045;-12758.030632384121]
1,0,Moving,Foraging,Adult,{},{1},[12107.59740806371;29989.46133415401;-14664.571033000946]
1,1,Foraging,Foraging,Adult,{},{0;2},[6119.175290554762;30919.701985910535;-13266.297490909696]
1,2,Foraging,Foraging,Adult,{},{1},[2382.3404130600393;32481.136887043715;-12730.000020131469]
2,1,Foraging,Foraging,Adult,{},{2},[6315.143685813993;31044.638838097453;-13218.90897732228]
2,2,Foraging,Foraging,Adult,{},{1},[2382.3404130600393;32481.136887043715;-12730.000020131469]
3,1,Foraging,Foraging,Adult,{},{2},[6505.072621388361;31132.442107144743;-13156.350899229757]
3,2,Foraging,Foraging,Adult,{},{1},[2382.3404130600393;32481.136887043715;-12730.000020131469]
4,1,Foraging,Foraging,Adult,{},{2},[6156.752330835909;31050.69081813097;-13194.946245752275]
4,2,Foraging,Foraging,Adult,{},{1},[2421.226902444847;32470.86401759088;-12731.074816474691]
5,0,Moving,Background,Adult,{},{},[66086.26750750095;44938.55780785531;-22446.718030078337]
5,1,Foraging,Foraging,Adult,{},{2},[6156.752330835909;31050.69081813097;-13194.946245752275]
5,2,Foraging,Foraging,Adult,{},{1},[2421.226902444847;32470.86401759088;-12731.074816474691]
6,1,Foraging,Foraging,Adult,{2},{2},[6078.585458088666;31058.512859134004;-13184.907168576494]
6,2,Foraging,Foraging,Adult,{1},{1},[2461.41944822995;32461.77194667235;-12734.389645657502]
7,1,Foraging,Foraging,Adult,{2},{2},[6001.647067517042;31068.471179982647;-13175.96738994494]
7,2,Foraging,Foraging,Adult,{1},{1},[2461.41944822995;32461.77194667235;-12734.389645657502]
8,1,Foraging,Foraging,Adult,{2},{2},[5857.286281898618;30984.655329033732;-13205.336774989963]
8,2,Foraging,Foraging,Adult,{1},{1},[2461.41944822995;32461.77194667235;-12734.389645657502]
9,1,Foraging,Foraging,Adult,{2},{2},[5292.213794954121;30543.837999006733;-13487.957686447538]
9,2,Foraging,Foraging,Adult,{1},{1},[2500.675303371623;32457.200141385198;-12737.687589086592]
10,1,Foraging,Foraging,Adult,{2},{2},[5314.569863575511;30625.576019652188;-13440.157492525876]
10,2,Foraging,Foraging,Adult,{1},{1},[2541.8424629666843;32453.21749094501;-12741.493084503338]
11,1,Foraging,Foraging,Adult,{2},{2},[5340.246262867004;30574.129234224558;-13465.975104033947]
11,2,Foraging,Foraging,Adult,{1},{1},[2541.8424629666843;32453.21749094501;-12741.493084503338]
12,1,Foraging,Foraging,Adult,{2},{2},[5376.588264062069;30561.6553202793;-13466.959563560784]
12,2,Foraging,Foraging,Adult,{1},{1},[2541.8424629666843;32453.21749094501;-12741.493084503338]
13,1,Foraging,Foraging,Adult,{2},{2},[5365.748283382971;30522.35588305816;-13491.417931457981]
13,2,Foraging,Foraging,Adult,{1},{1},[2541.8424629666843;32453.21749094501;-12741.493084503338]
14,1,Foraging,Foraging,Adult,{2},{2},[5365.748283382971;30522.35588305816;-13491.417931457981]
14,2,Foraging,Foraging,Adult,{1},{1},[2582.7887248918414;32442.492843806744;-12745.152214676142]
15,1,Foraging,Foraging,Adult,{2},{2},[5355.06679956615;30483.647591605783;-13516.03139822185]
15,2,Foraging,Foraging,Adult,{1},{1},[2621.744710113853;32434.294827729464;-12747.175685167313]
16,1,Foraging,Foraging,Adult,{2},{2},[5355.06679956615;30483.647591605783;-13516.03139822185]
16,2,Foraging,Foraging,Adult,{1},{1},[2621.744710113853;32434.294827729464;-12747.175685167313]
17,1,Foraging,Foraging,Adult,{2},{2},[5344.291994223371;30444.351363891736;-13540.277640959248]
17,2,Foraging,Foraging,Adult,{1},{1},[2614.93384956941;32398.473111961037;-12776.269541386515]
18,1,Foraging,Foraging,Adult,{2},{2},[5417.080993659794;30421.558251559734;-13542.236750856042]
18,2,Foraging,Foraging,Adult,{1},{1},[2614.93384956941;32398.473111961037;-12776.269541386515]
19,1,Foraging,Foraging,Adult,{2},{2},[5405.911575820297;30380.521909222007;-13566.330314584076]
19,2,Foraging,Foraging,Adult,{1},{1},[2653.3229257343337;32388.457605533302;-12778.980166323483]
20,1,Foraging,Foraging,Adult,{2},{2},[5383.532368421555;30298.05029153824;-13612.51815378666]
20,2,Foraging,Foraging,Adult,{1},{1},[2693.4418671401218;32378.148565106094;-12780.19900611788]
21,1,Foraging,Foraging,Adult,{2},{2},[4870.069326043129;30485.235965788364;-13607.019457653165]
21,2,Foraging,Foraging,Adult,{1},{1},[2693.4418671401218;32378.148565106094;-12780.19900611788]
22,1,Foraging,Foraging,Adult,{2},{2},[4893.256389379501;30572.391870498657;-13560.899152755737]
22,2,Foraging,Foraging,Adult,{1},{1},[2693.4418671401218;32378.148565106094;-12780.19900611788]
23,1,Foraging,Foraging,Adult,{2},{2},[4927.905925598927;30709.616031166166;-13497.145359313115]
23,2,Foraging,Foraging,Adult,{1},{1},[2646.158586848527;32348.726091951132;-12806.003117442131]
24,1,Foraging,Foraging,Adult,{2},{2},[4862.223562464118;30765.934917643666;-13466.742262005806]
24,2,Foraging,Foraging,Adult,{1},{1},[2588.3833433948457;32276.047298232093;-12856.985366644338]
25,1,Foraging,Foraging,Adult,{2},{2},[4681.051867590286;30855.154130082577;-13473.064134003595]
25,2,Foraging,Foraging,Adult,{1},{1},[2492.2401316771284;32210.12217526883;-12905.056567534804]
26,1,Foraging,Foraging,Adult,{2},{2},[4493.020611524582;30910.874842584133;-13467.63788279891]
26,2,Foraging,Foraging,Adult,{1},{1},[2483.554586144164;32168.338913425803;-12930.576897993684]
27,1,Foraging,Foraging,Adult,{2},{2},[3961.1092033213936;31086.12596056983;-13498.828332198784]
27,2,Foraging,Foraging,Adult,{1},{1},[2025.6687640284654;31957.320147726685;-13131.78601773642]
28,1,Foraging,Foraging,Adult,{2},{2},[4140.937504994217;30994.637798493728;-13531.561883077957]
28,2,Foraging,Foraging,Adult,{1},{1},[1535.478855433641;32008.63779590279;-13171.067217890173]
29,1,Foraging,Foraging,Adult,{2},{2},[3797.8924876665697;31253.308471657336;-13413.15151643008]
29,2,Foraging,Foraging,Adult,{1},{1},[1259.0808554254472;32106.14287662506;-13171.99904218316]
30,1,Foraging,Foraging,Adult,{2},{2},[3738.344781112857;31170.719434298575;-13456.230492010713]
30,2,Foraging,Foraging,Adult,{1},{1},[1297.6566631427268;32093.341089274734;-13171.779633387923]
31,1,Foraging,Foraging,Adult,{2},{2},[3719.9034239854664;31084.88862695545;-13503.938666664064]
31,2,Foraging,Foraging,Adult,{1},{1},[1297.6566631427268;32093.341089274734;-13171.779633387923]
32,1,Foraging,Foraging,Adult,{2},{2},[3642.6429108222947;31097.691434949636;-13496.660586701706]
32,2,Foraging,Foraging,Adult,{1},{1},[1297.6566631427268;32093.341089274734;-13171.779633387923]
33,5,Moving,Background,Adult,{},{},[67768.79367566109;45883.32432177663;-17620.69392257929]
33,1,Foraging,Foraging,Adult,{2},{2},[3359.6337398905307;31083.33909329772;-13491.403114857152]
33,2,Foraging,Foraging,Adult,{1},{1},[1337.6959542410914;32079.5699387528;-13172.28425111156]
34,5,Moving,Background,Adult,{},{},[67682.37782788277;45844.74230091274;-17823.133047379553]
34,1,Foraging,Foraging,Adult,{2},{2},[3574.704978532158;31155.233494222164;-13467.314215216786]
34,2,Foraging,Foraging,Adult,{1},{1},[1377.4405119784642;32064.627955280244;-13173.569235116243]
35,5,Moving,Background,Adult,{},{},[68173.21503347158;46116.23006170988;-16600.184432268143]
35,1,Foraging,Foraging,Adult,{2},{2},[4404.121638134122;30399.730781272054;-13751.009683780372]
35,2,Foraging,Foraging,Adult,{1},{1},[1377.4405119784642;32064.627955280244;-13173.569235116243]
36,1,Moving,Foraging,Adult,{},{2},[7136.823589162901;29624.39927614294;-14137.629206379876]
36,2,Foraging,Foraging,Adult,{},{1},[1377.4405119784642;32064.627955280244;-13173.569235116243]
37,1,Moving,Foraging,Adult,{},{},[9535.430690606125;29384.708248941228;-14488.838432777673]
37,2,Foraging,Foraging,Adult,{},{},[1415.775944862049;32049.464349612594;-13172.366804264486]
38,1,Moving,Foraging,Adult,{},{},[13532.166994677857;29712.57200635597;-15250.654197504744]
38,2,Foraging,Foraging,Adult,{},{},[1535.478855433641;32008.63779590279;-13171.067217890173]
39,2,Foraging,Foraging,Adult,{},{},[1702.875150423497;32022.140399962664;-13156.818125709891]
40,2,Foraging,Foraging,Adult,{},{},[1661.9265187978745;32032.601465702057;-13155.894710063934]
41,2,Foraging,Foraging,Adult,{},{},[2150.3559309728444;32166.38614308834;-12969.97738058865]
42,2,Foraging,Foraging,Adult,{},{},[1931.2524356339127;32127.5002723597;-13055.327349265106]
43,2,Foraging,Foraging,Adult,{},{},[1669.9956948459148;32079.427766561508;-13131.411228179932]
44,2,Foraging,Foraging,Adult,{},{},[1963.1240788174327;32076.397532131523;-13083.490597571246]
45,2,Foraging,Foraging,Adult,{},{},[2333.4243454071693;32043.977965399623;-13037.08113350533]
46,2,Foraging,Foraging,Adult,{},{},[2040.9155492670834;32049.86909008026;-13084.502104356885]
47,2,Foraging,Foraging,Adult,{},{},[2001.394734811969;32064.35209695995;-13083.615220282227]
48,2,Foraging,Foraging,Adult,{},{},[2040.9155492670834;32049.86909008026;-13084.502104356885]
49,2,Foraging,Foraging,Adult,{},{},[2119.9718794543296;32023.376838624477;-13084.87102971226]
50,2,Foraging,Foraging,Adult,{},{},[2159.927314594388;32011.181166410446;-13085.372737169266]
51,2,Foraging,Foraging,Adult,{},{},[2199.25733008096;31997.08000195399;-13086.581082223915]
52,2,Foraging,Foraging,Adult,{},{},[2199.25733008096;31997.08000195399;-13086.581082223915]
53,2,Foraging,Foraging,Adult,{},{},[2355.0645484318957;31937.239931873977;-13084.335449431092]
54,2,Foraging,Foraging,Adult,{},{},[2670.2946384006646;31866.478677911684;-13102.66775516048]
55,2,Foraging,Foraging,Adult,{},{},[2906.2429363965057;31822.15357233025;-13118.464410665445]
56,2,Foraging,Foraging,Adult,{},{},[4183.613439762499;31344.645779520273;-13337.456147223711]
57,2,Moving,Foraging,Adult,{},{},[8800.871827244759;30969.50805735588;-13496.028194665909]
58,2,Moving,Foraging,Adult,{},{},[14275.707467742264;30420.87139055133;-15036.84855157882]
59,2,Moving,Background,Adult,{},{},[26477.22757962346;36336.04650974274;-19485.644059360027]
65,6,Moving,Background,Adult,{},{},[68059.81455802917;45182.07052743435;-21472.716319143772]
66,6,Moving,Background,Adult,{},{},[65634.47503018379;44904.49754482508;-22519.15128415823]
86,9,Moving,Background,Adult,{},{},[71471.06932449341;47261.482159137726;-9128.489799380302]
87,9,Moving,Background,Adult,{},{},[71525.85649378598;47469.07252164185;-7293.914913745597]
89,9,Moving,Background,Adult,{},{},[73054.72101211548;48010.09420585632;-2104.242800794542]
