Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Foraging,Foraging,Adult,{},{1},[4508.621115319431;33105.333659917116;-12123.521323762834]
0,1,Foraging,Foraging,Adult,{},{0},[12204.687519073486;32091.63085460663;-13359.478815793991]
0,2,Groom,Background,Adult,{},{},[27337.16148552671;35388.86492611095;-26227.99713113159]
0,3,Lying/resting (stationary),Background,Adult,{},{},[35616.79674959183;38512.94127893448;-28902.896095514297]
1,0,Foraging,Foraging,Adult,{},{1},[4476.40563209448;33139.95127719641;-12087.262910774909]
1,1,Foraging,Foraging,Adult,{},{0},[12295.498150831088;32098.749043229967;-13378.409797849134]
1,2,Groom,Background,Adult,{},{},[27327.33327396214;35373.34260447323;-26279.07406964898]
1,3,Lying/resting (stationary),Background,Adult,{},{},[35616.79674959183;38512.94127893448;-28902.896095514297]
2,0,Foraging,Foraging,Adult,{},{1},[4486.322440743446;33179.00850439072;-12057.185219883919]
2,1,Foraging,Foraging,Adult,{},{0},[12295.498150831088;32098.749043229967;-13378.409797849134]
2,2,Groom,Background,Adult,{},{},[27319.63741981797;35361.127727855;-26331.556631376967]
2,3,Lying/resting (stationary),Background,Adult,{},{},[35725.21703374386;38552.35200190544;-28953.168145269156]
3,0,Foraging,Foraging,Adult,{},{},[4497.667421400547;33221.30537781119;-12027.766448020935]
3,1,Foraging,Foraging,Adult,{},{},[12401.15644030273;32145.419927217066;-13413.865738350898]
3,2,Groom,Background,Adult,{},{},[27304.173326453194;35338.24744280055;-26374.299810336903]
3,3,Lying/resting (stationary),Background,Adult,{},{},[35725.21703374386;38552.35200190544;-28953.168145269156]
4,0,Foraging,Foraging,Adult,{},{},[4497.667421400547;33221.30537781119;-12027.766448020935]
4,1,Foraging,Foraging,Adult,{},{},[12497.05879920721;32170.800309449434;-13441.929874941707]
4,2,Groom,Background,Adult,{},{},[27486.103905037045;35407.62358365953;-26463.440000370145]
4,3,Lying/resting (stationary),Background,Adult,{},{},[35730.23865759373;38560.473258435726;-28894.017128914595]
5,0,Foraging,Foraging,Adult,{},{},[4507.415017604828;33263.646189808846;-11999.192378759384]
5,1,Foraging,Foraging,Adult,{},{},[12656.772682630457;32130.638212235644;-13460.197875311598]
5,2,Groom,Background,Adult,{},{},[27671.850303798914;35483.466119349;-26557.397606134415]
5,3,Lying/resting (stationary),Background,Adult,{},{},[35730.23865759373;38560.473258435726;-28894.017128914595]
6,0,Foraging,Foraging,Adult,{},{},[4507.415017604828;33263.646189808846;-11999.192378759384]
6,1,Foraging,Foraging,Adult,{},{},[12737.093660570681;32110.77991323918;-13467.856776505709]
6,2,Groom,Background,Adult,{},{},[27873.64454908669;35578.189070791006;-26665.818765848875]
6,3,Lying/resting (stationary),Background,Adult,{},{},[35730.23865759373;38560.473258435726;-28894.017128914595]
7,0,Foraging,Foraging,Adult,{},{},[4507.415017604828;33263.646189808846;-11999.192378759384]
7,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
7,2,Groom,Background,Adult,{},{},[28058.14736416936;35648.87202268839;-26754.885654866695]
7,3,Lying/resting (stationary),Background,Adult,{},{},[35730.23865759373;38560.473258435726;-28894.017128914595]
8,0,Foraging,Foraging,Adult,{},{},[4507.415017604828;33263.646189808846;-11999.192378759384]
8,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
8,2,Moving,Background,Adult,{},{},[28264.87854980305;35747.168067444116;-26867.94601514563]
8,3,Lying/resting (stationary),Background,Adult,{},{},[35730.23865759373;38560.473258435726;-28894.017128914595]
9,0,Foraging,Foraging,Adult,{},{},[4507.415017604828;33263.646189808846;-11999.192378759384]
9,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
9,2,Moving,Background,Adult,{},{3},[30363.307161986828;36555.937818259;-27710.69049681723]
9,3,Lying/resting (stationary),Background,Adult,{},{2},[35730.23865759373;38560.473258435726;-28894.017128914595]
10,0,Foraging,Foraging,Adult,{},{},[4507.415017604828;33263.646189808846;-11999.192378759384]
10,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
10,2,Moving,Background,Adult,{},{3},[31172.111604318023;36877.19229140878;-28045.256910562515]
10,3,Lying/resting (stationary),Background,Adult,{},{2},[35730.23865759373;38560.473258435726;-28894.017128914595]
11,0,Foraging,Foraging,Adult,{},{},[4507.415017604828;33263.646189808846;-11999.192378759384]
11,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
11,2,Moving,Background,Adult,{},{3},[31964.631292946637;37168.37627282739;-28297.380604051054]
11,3,Lying/resting (stationary),Background,Adult,{},{2},[35730.23865759373;38560.473258435726;-28894.017128914595]
12,0,Foraging,Foraging,Adult,{},{},[4507.415017604828;33263.646189808846;-11999.192378759384]
12,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
12,2,Moving,Background,Adult,{3},{3},[34046.527534365654;37863.02295708656;-29116.28507514298]
12,3,Lying/resting (stationary),Background,Adult,{2},{2},[35730.23865759373;38560.473258435726;-28894.017128914595]
13,0,Foraging,Foraging,Adult,{},{},[4507.415017604828;33263.646189808846;-11999.192378759384]
13,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
13,2,Moving,Background,Adult,{3},{3},[34558.515873909;38038.41807472706;-29219.647277638316]
13,3,Lying/resting (stationary),Background,Adult,{2},{2},[35730.23865759373;38560.473258435726;-28894.017128914595]
14,0,Foraging,Foraging,Adult,{},{},[4497.667421400547;33221.30537781119;-12027.766448020935]
14,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
14,2,Moving,Background,Adult,{3},{3},[34365.42831107974;37986.22506350279;-29074.480817228556]
14,3,Lying/resting (stationary),Background,Adult,{2},{2},[35823.1138760522;38581.55108593404;-28928.64735107869]
15,0,Foraging,Foraging,Adult,{},{},[4944.584489226341;32932.08251836896;-12085.92429228872]
15,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
15,2,Moving,Background,Adult,{3},{3},[34377.94197932631;38002.41551441699;-29022.004373263568]
15,3,Lying/resting (stationary),Background,Adult,{2},{2},[35827.398359172046;38588.936431869864;-28868.888260846958]
16,0,Foraging,Foraging,Adult,{},{},[5019.674347043037;32884.67632818222;-12081.117497444153]
16,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
16,3,Lying/resting (stationary),Background,Adult,{},{},[35827.398359172046;38588.936431869864;-28868.888260846958]
17,0,Foraging,Foraging,Adult,{},{},[5019.674347043037;32884.67632818222;-12081.117497444153]
17,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
17,3,Lying/resting (stationary),Background,Adult,{},{},[35921.284994125366;38608.86505487561;-28902.88845065981]
18,0,Foraging,Foraging,Adult,{},{},[5019.674347043037;32884.67632818222;-12081.117497444153]
18,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
18,3,Lying/resting (stationary),Background,Adult,{},{},[35921.284994125366;38608.86505487561;-28902.88845065981]
19,0,Foraging,Foraging,Adult,{},{},[5029.84681828646;32925.10891897604;-12052.37525012251]
19,1,Foraging,Foraging,Adult,{},{},[12959.302333548665;32007.211547106504;-13476.678588831797]
