Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Dig burrow,Sand Area,Adult,{},{},[-32789.89303243905;67253.61017385125;19668.91154384613]
0,1,Moving,Around Mound,Adult,{},{},[-30441.306737381965;66490.36185327172;4185.111867849715]
0,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
0,3,Groom,Around Mound,Adult,{},{4},[-49784.5070463717;61950.139660321176;-8194.443952972535]
0,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
0,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
1,0,Dig burrow,Sand Area,Adult,{},{},[-33768.21423010528;66847.76415732503;19585.095115981996]
1,1,Dig burrow,Sand Area,Adult,{},{},[-32710.590550202876;66146.6292167902;9281.734458898194]
1,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
1,3,Groom,Around Mound,Adult,{},{},[-49857.705123618245;62037.680534020066;-7184.601364055648]
1,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
1,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
2,0,Dig burrow,Sand Area,Adult,{},{},[-34384.543407678604;66659.07779681683;19732.72893947363]
2,1,Dig burrow,Sand Area,Adult,{},{},[-33214.34275011718;65989.42220896482;9348.003855045885]
2,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
2,3,Groom,Around Mound,Adult,{},{},[-50132.23404119909;61969.62025992572;-7281.372709683143]
2,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
2,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
3,0,Dig burrow,Sand Area,Adult,{},{},[-34555.32953262329;66603.80879592896;19723.089836120605]
3,1,Dig burrow,Sand Area,Adult,{},{},[-32646.578403949738;66169.06836938858;9543.402927279472]
3,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
3,3,Groom,Around Mound,Adult,{},{},[-50048.091517329216;62001.13986468315;-7193.4537103921175]
3,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
3,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
4,0,Dig burrow,Sand Area,Adult,{},{},[-34243.51472778618;66723.82520160079;19924.299674529582]
4,1,Dig burrow,Sand Area,Adult,{},{},[-32643.306184336543;66143.1555493772;8433.946720141917]
4,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
4,3,Groom,Around Mound,Adult,{},{},[-50055.6141602993;62009.98726591468;-7111.2980004400015]
4,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
4,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
5,0,Dig burrow,Sand Area,Adult,{},{},[-35588.21418404579;66346.27886760235;20316.426611751318]
5,1,Dig burrow,Sand Area,Adult,{},{},[-33589.1785774678;66055.86416494846;11150.147228233516]
5,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
5,3,Groom,Around Mound,Adult,{},{},[-50055.6141602993;62009.98726591468;-7111.2980004400015]
5,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
5,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
6,0,Dig burrow,Sand Area,Adult,{},{},[-36082.77247310802;66225.628110677;20750.91930096969]
6,1,Dig burrow,Sand Area,Adult,{},{},[-34707.54743210971;65786.6989376843;12144.721610441804]
6,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
6,3,Groom,Around Mound,Adult,{},{},[-50055.6141602993;62009.98726591468;-7111.2980004400015]
6,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
6,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
7,0,Dig burrow,Sand Area,Adult,{},{},[-36922.99556326866;65937.20144176483;20703.209315776825]
7,1,Dig burrow,Sand Area,Adult,{},{},[-34570.75591361523;65838.39095163345;12498.0322522223]
7,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
7,3,Groom,Around Mound,Adult,{},{},[-49966.97624848783;62038.67283825576;-7108.13543814607]
7,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
7,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
8,0,Dig burrow,Sand Area,Adult,{},{},[-39286.81890527904;65217.89981806278;20140.350219078362]
8,1,Dig burrow,Sand Area,Adult,{},{},[-33871.971681281924;66033.53204196692;12269.212126675993]
8,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
8,3,Groom,Around Mound,Adult,{},{},[-49861.16963239014;62042.34725484252;-7101.646153014153]
8,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
8,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
9,1,Dig burrow,Sand Area,Adult,{},{},[-33679.38976633549;66080.21118116379;12015.972713172436]
9,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
9,3,Groom,Around Mound,Adult,{},{},[-49861.16963239014;62042.34725484252;-7101.646153014153]
9,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
9,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
10,6,Moving,Around Mound,Adult,{},{},[9968.180333033204;59835.467545717955;-11425.983159177005]
10,1,Dig burrow,Sand Area,Adult,{},{},[-33482.9599766843;66122.08368674666;11764.745378352702]
10,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
10,3,Groom,Around Mound,Adult,{},{},[-49861.16963239014;62042.34725484252;-7101.646153014153]
10,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
10,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
11,6,Moving,Mound,Adult,{},{},[1831.106205913704;59253.94895944744;-14546.516132416204]
11,1,Dig burrow,Sand Area,Adult,{},{},[-33012.09736567736;66290.65896333754;12046.824807865545]
11,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
11,3,Groom,Around Mound,Adult,{},{},[-49656.00159859657;62058.04373371601;-7091.842761337757]
11,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
11,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
12,1,Dig burrow,Sand Area,Adult,{},{},[-33341.915555015206;66179.81855754554;12032.783695457503]
12,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
12,3,Groom,Around Mound,Adult,{},{},[-48932.047509569675;62243.526473492384;-7066.859352705069]
12,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
12,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
13,1,Dig burrow,Sand Area,Adult,{},{},[-33619.87998973951;66056.81692427397;11495.252929478884]
13,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
13,3,Groom,Around Mound,Adult,{},{},[-48567.9841619879;62331.559962674975;-6800.341282233596]
13,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
13,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
14,1,Dig burrow,Sand Area,Adult,{},{},[-34293.12547855079;65863.44767388701;11467.908151678741]
14,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
14,3,Groom,Around Mound,Adult,{},{},[-48567.9841619879;62331.559962674975;-6800.341282233596]
14,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
14,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
15,1,Dig burrow,Sand Area,Adult,{},{},[-34504.55604541302;65815.87522315979;11892.391429126263]
15,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
15,3,Groom,Around Mound,Adult,{},{},[-48570.29443717003;62334.15894007683;-6885.393891304731]
15,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
15,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
16,1,Dig burrow,Sand Area,Adult,{},{},[-34504.55604541302;65815.87522315979;11892.391429126263]
16,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
16,3,Groom,Around Mound,Adult,{},{},[-48568.38045978546;62335.13132691383;-6968.649390742183]
16,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
16,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
17,1,Dig burrow,Sand Area,Adult,{},{},[-34325.427525788546;65865.1582211405;11814.143608041108]
17,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
17,3,Groom,Around Mound,Adult,{},{},[-48565.26144313812;62330.75891017914;-7053.689953804016]
17,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
17,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
18,1,Dig burrow,Sand Area,Adult,{},{},[-34428.447945185006;65843.21986355633;11980.879156205803]
18,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
18,3,Groom,Around Mound,Adult,{},{},[-48565.26144313812;62330.75891017914;-7053.689953804016]
18,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
18,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
19,1,Dig burrow,Sand Area,Adult,{},{},[-34716.09557763487;65791.83668136597;12232.35331216827]
19,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
19,3,Groom,Around Mound,Adult,{},{4},[-48562.16419559717;62326.41608399153;-7138.720272451639]
19,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
19,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
20,1,Dig burrow,Sand Area,Adult,{},{},[-34542.505339205265;65830.63358047605;12237.848476391286]
20,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
20,3,Groom,Around Mound,Adult,{},{4},[-48559.42655390501;62322.535268843174;-7223.435561254621]
20,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
20,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
21,1,Dig burrow,Sand Area,Adult,{},{},[-34373.91181957722;65878.95352235436;12244.721835967153]
21,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
21,3,Groom,Around Mound,Adult,{},{4},[-48559.42655390501;62322.535268843174;-7223.435561254621]
21,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
21,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
22,1,Dig burrow,Sand Area,Adult,{},{},[-34288.59884033352;65901.00392248482;12248.618790217675]
22,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
22,3,Groom,Around Mound,Adult,{},{4},[-48558.18232989311;62320.87798666954;-7307.066968768835]
22,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
22,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
23,1,Dig burrow,Sand Area,Adult,{},{},[-34297.15756833553;65905.00461614132;12336.366650409997]
23,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
23,3,Groom,Around Mound,Adult,{},{4},[-48553.43977856636;62318.40146589279;-7391.189931750298]
23,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
23,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
24,1,Dig burrow,Sand Area,Adult,{},{},[-33894.743964865804;66045.49455806613;12445.71487147361]
24,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
24,3,Groom,Around Mound,Adult,{},{4},[-48553.43977856636;62318.40146589279;-7391.189931750298]
24,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
24,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
25,1,Dig burrow,Sand Area,Adult,{},{},[-33581.62572225556;66172.58677686006;12550.21738532558]
25,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
25,3,Groom,Around Mound,Adult,{},{4},[-48553.43977856636;62318.40146589279;-7391.189931750298]
25,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
25,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
26,1,Dig burrow,Sand Area,Adult,{},{},[-34521.00873208791;65818.6375156641;12063.355393394828]
26,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
26,3,Groom,Around Mound,Adult,{},{4},[-48553.43977856636;62318.40146589279;-7391.189931750298]
26,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
26,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
27,1,Dig burrow,Sand Area,Adult,{},{},[-35629.62766274065;65520.3033323735;12024.51377050206]
27,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
27,3,Groom,Around Mound,Adult,{},{4},[-48553.43977856636;62318.40146589279;-7391.189931750298]
27,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
27,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4},[-42404.88405150175;60998.900441259146;-12437.283203065395]
28,1,Dig burrow,Sand Area,Adult,{},{},[-36302.71060048044;65346.82481167093;11829.420773328282]
28,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17692.357283622026;64956.276721060276;-32869.522221684456]
28,3,Groom,Around Mound,Adult,{},{5;4},[-48455.15134423971;62332.13276177645;-7386.33504877612]
28,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5},[-44366.57677410543;59198.63929339126;-13128.377111753449]
