Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,0,Dig burrow,Sand Area,Adult,{},{}
0,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
0,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
0,3,Interact with pup,Around Mound,Adult,{7;8},{6;7;5;8}
0,5,Low sitting/standing (stationary),Around Mound,Adult,{6;7},{3;6;7;8}
0,6,None,Around Mound,Pup,{7;5},{3;7;5;8}
0,7,None,Around Mound,Pup,{3;6;5;8},{3;6;5;8}
0,8,None,Around Mound,Pup,{3;7},{3;6;7;5}
1,0,Dig burrow,Sand Area,Adult,{},{}
1,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
1,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
1,3,Interact with pup,Around Mound,Adult,{7;8},{6;7;5;8}
1,5,Low sitting/standing (stationary),Around Mound,Adult,{6;7},{3;6;7;8}
1,6,None,Around Mound,Pup,{7;5},{3;7;5;8}
1,7,None,Around Mound,Pup,{3;6;5;8},{3;6;5;8}
1,8,None,Around Mound,Pup,{3;7},{3;6;7;5}
2,0,Dig burrow,Sand Area,Adult,{},{}
2,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
2,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
2,3,Interact with pup,Around Mound,Adult,{7;8},{6;7;5;8}
2,5,Moving,Around Mound,Adult,{6;7},{3;6;7;8}
2,6,None,Around Mound,Pup,{7;5},{3;7;5;8}
2,7,None,Around Mound,Pup,{3;6;5;8},{3;6;5;8}
2,8,None,Around Mound,Pup,{3;7},{3;6;7;5}
3,6,None,Around Mound,Pup,{4;5;7},{4;5;8;3;7}
3,0,Dig burrow,Sand Area,Adult,{},{}
3,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
3,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
3,3,Interact with pup,Around Mound,Adult,{7;8},{4;5;8;6;7}
3,4,Interact with pup,Around Mound,Adult,{6;7;5;8},{5;8;3;6;7}
3,5,Moving,Around Mound,Adult,{6;4;7;8},{4;8;3;6;7}
3,7,None,Around Mound,Pup,{4;5;8;3;6},{4;5;8;3;6}
3,8,None,Around Mound,Pup,{3;4;5;7},{4;5;3;6;7}
4,6,None,Around Mound,Pup,{4;7},{4;5;8;3;7}
4,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{}
4,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
4,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
4,3,Moving,Around Mound,Adult,{7;5;8},{4;5;8;6;7}
4,4,Interact with pup,Around Mound,Adult,{6;7;5;8},{5;8;3;6;7}
4,5,Interact with pup,Around Mound,Adult,{3;4;7;8},{4;8;3;6;7}
4,7,None,Around Mound,Pup,{4;5;8;3;6},{4;5;8;3;6}
4,8,None,Around Mound,Pup,{3;4;5;7},{4;5;3;6;7}
5,6,None,Around Mound,Pup,{3;4;7},{4;5;8;3;7}
5,9,Moving,Left Sticks Area,Adult,{},{}
5,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{}
5,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
5,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
5,3,Moving,Around Mound,Adult,{4;5;8;6;7},{4;5;8;6;7}
5,4,Interact with pup,Around Mound,Adult,{5;8;3;6;7},{5;8;3;6;7}
5,5,Moving,Around Mound,Adult,{3;4;7;8},{4;8;3;6;7}
5,7,None,Around Mound,Pup,{4;5;8;3;6},{4;5;8;3;6}
5,8,None,Around Mound,Pup,{3;4;5;7},{4;5;3;6;7}
6,6,None,Around Mound,Pup,{4;7},{4;5;8;3;7}
6,0,Dig burrow,Sand Area,Adult,{},{}
6,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
6,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
6,3,Interact with pup,Around Mound,Adult,{8;4;5;7},{4;5;8;6;7}
6,4,Low sitting/standing (stationary),Around Mound,Adult,{5;8;3;6;7},{5;8;3;6;7}
6,5,Moving,Around Mound,Adult,{3;4;7;8},{4;8;3;6;7}
6,7,None,Around Mound,Pup,{4;5;8;3;6},{4;5;8;3;6}
6,8,None,Around Mound,Pup,{3;4;5;7},{4;5;3;6;7}
7,6,None,Around Mound,Pup,{4;7},{4;5;8;3;7}
7,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
7,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
7,3,Low sitting/standing (stationary),Around Mound,Adult,{8;4;5;7},{4;5;8;6;7}
7,4,Low sitting/standing (stationary),Around Mound,Adult,{5;8;3;6;7},{5;8;3;6;7}
7,5,Moving,Around Mound,Adult,{3;4;7;8},{4;8;3;6;7}
7,7,None,Around Mound,Pup,{4;5;8;3;6},{4;5;8;3;6}
7,8,None,Around Mound,Pup,{3;4;5;7},{4;5;3;6;7}
8,6,None,Around Mound,Pup,{4;7},{4;5;8;3;7}
8,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
8,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
8,3,Low sitting/standing (stationary),Around Mound,Adult,{4;7;8},{4;5;8;6;7}
8,4,Low sitting/standing (stationary),Around Mound,Adult,{5;8;3;6;7},{5;8;3;6;7}
8,5,Interact with pup,Around Mound,Adult,{4;7;8},{4;8;3;6;7}
8,7,None,Around Mound,Pup,{4;5;8;3;6},{4;5;8;3;6}
8,8,None,Around Mound,Pup,{3;4;5;7},{4;5;3;6;7}
9,6,None,Around Mound,Pup,{4;7},{4;5;8;3;7}
9,10,Moving,Around Mound,Adult,{},{}
9,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
9,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
9,3,Low sitting/standing (stationary),Around Mound,Adult,{8;4;5;7},{4;5;8;6;7}
9,4,Low sitting/standing (stationary),Around Mound,Adult,{5;8;3;6;7},{5;8;3;6;7}
